Given_By,Date,Amount(D),Amount($),Exchange Rate
Sand Money,12/29/2026,"8,000.00",,
Cement Money,12/29/2026,"18,000.00",,
Awa,01/20/2026,"220,500.00","$3,000.00",$1 = 73.50
Residual 4rm 2nd Floor,01/22/2026,"2,000.00",$27.00,$1 = 74.00
From Tata,01/25/2026,"221,250.00","$3,000.00",$1 = 73.75
From Awa,01/28/2026,"73,750.00","$1,000.00",$1 = 73.75
From Tata,02/07/2026,"295,000.00","$4,000.00",$1 = 73.75
Sika Cash,03/16/2026,"80,000.00","$1,151.08",$1 = 69.50
Sika Cash,03/30/2026,"90,000.00","$1,294.96",$1 = 69.50
Wave Money,04/12/2026,"82,869.00","$1,201.00",$1 = 69.00
Sika Cash,04/26/2026,"17,000.00",$244.60,69.5
,,,,
TOTAL,,"1,108,369.00","$14,674.04",
,,,,
Residual moved to Roof Concrete ,05/01/2026,"6,934.00",,
,,,,
TOTAL SPENT,,"1,101,435.00",,
,,,,
TOTAL REMAINING,,0.00,,
