item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
$100 Transfer Fee,1.0,250.0,250.0,2022-03-27,Brick Molding,1st Floor,50.0
Cutting Trees,1.0,5000.0,5000.0,2022-04-03,Brick Molding,1st Floor,50.0
Clearing Plot,1.0,2500.0,2500.0,2022-04-03,Brick Molding,1st Floor,50.0
"$1,000 Transfer Fee",1.0,1000.0,1000.0,2022-04-16,Brick Molding,1st Floor,50.0
Cement ,75.0,320.0,24000.0,2022-04-18,Brick Molding,1st Floor,50.0
Cement Transport,75.0,20.0,1500.0,2022-04-18,Brick Molding,1st Floor,50.0
Wheelbarrow ,1.0,3000.0,3000.0,2022-04-18,Brick Molding,1st Floor,50.0
50m Hose/Pipe ,1.0,1400.0,1400.0,2022-04-18,Brick Molding,1st Floor,50.0
Small Bucket ,2.0,100.0,200.0,2022-04-18,Brick Molding,1st Floor,50.0
Big Sand Trip,2.0,8000.0,16000.0,2022-04-18,Brick Molding,1st Floor,50.0
Small Tank ,1.0,1600.0,1600.0,2022-04-18,Brick Molding,1st Floor,50.0
Cement Watchman,1.0,500.0,500.0,2022-04-18,Brick Molding,1st Floor,50.0
Gasoline ,1.0,300.0,300.0,2022-04-18,Brick Molding,1st Floor,50.0
Missing ,1.0,1500.0,1500.0,2022-04-18,Brick Molding,1st Floor,50.0
"$1,000 Transfer Fee",1.0,1000.0,1000.0,2022-04-19,Brick Molding,1st Floor,50.0
Cement ,120.0,325.0,39000.0,2022-04-20,Brick Molding,1st Floor,50.0
Cement Transport,120.0,15.0,1800.0,2022-04-20,Brick Molding,1st Floor,50.0
Big Sand Trip,1.0,8000.0,8000.0,2022-04-20,Brick Molding,1st Floor,50.0
Small Tank ,1.0,800.0,800.0,2022-04-20,Brick Molding,1st Floor,50.0
Wheelbarrow Tire ,1.0,700.0,700.0,2022-04-20,Brick Molding,1st Floor,50.0
Gasoline ,1.0,500.0,500.0,2022-04-20,Brick Molding,1st Floor,50.0
"$1,000 Transfer Fee",1.0,600.0,600.0,2022-04-22,Brick Molding,1st Floor,50.0
Big Sand Trip ,2.0,8000.0,16000.0,2022-04-23,Brick Molding,1st Floor,50.0
Bricks Payment ,4210.0,6.0,25260.0,2022-04-23,Brick Molding,1st Floor,50.0
Over Payment ,1.0,1800.0,1800.0,2022-04-23,Brick Molding,1st Floor,50.0
Big Sand Trip,1.0,8000.0,8000.0,2022-04-23,Brick Molding,1st Floor,50.0
6Wheel Sand Trip,1.0,5500.0,5500.0,2022-04-23,Brick Molding,1st Floor,50.0
Cement ,55.0,330.0,18150.0,2022-04-23,Brick Molding,1st Floor,50.0
Cement Transport ,55.0,15.0,825.0,2022-04-23,Brick Molding,1st Floor,50.0
Bricks payment ,2675.0,6.0,16050.0,2022-04-23,Brick Molding,1st Floor,50.0
Needs To Be Determined,1.0,15.0,15.0,2022-04-23,Brick Molding,1st Floor,50.0
1 by 2 wood,25.0,100.0,2500.0,2024-01-01,Construction,1st Floor,67.5
Wooden Pake,15.0,35.0,500.0,2024-01-01,Construction,1st Floor,67.5
3 Inches Nale(kg) ,2.0,100.0,200.0,2024-01-01,Construction,1st Floor,67.5
