item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Cement ,100.0,480.0,48000.0,2025-10-14,Brick Molding,3rd Floor,73.75
Cement Transport,100.0,20.0,2000.0,2025-10-14,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-14,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-15,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-17,Brick Molding,3rd Floor,73.75
Brick Molding Cost,2910.0,6.0,17460.0,2025-10-20,Brick Molding,3rd Floor,73.75
Cement ,100.0,480.0,48000.0,2025-10-20,Brick Molding,3rd Floor,73.75
Cement Transport,100.0,20.0,2000.0,2025-10-20,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-21,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-23,Brick Molding,3rd Floor,73.75
Brick Molding Cost,2766.0,6.0,16600.0,2025-10-27,Brick Molding,3rd Floor,73.75
Cement ,50.0,480.0,24000.0,2025-10-27,Brick Molding,3rd Floor,73.75
Cement Transport,50.0,20.0,1000.0,2025-10-27,Brick Molding,3rd Floor,73.75
Sand (10 Wheel),1.0,8500.0,8500.0,2025-10-27,Brick Molding,3rd Floor,73.75
Brick Molding Cost,1400.0,6.0,8400.0,2025-10-29,Brick Molding,3rd Floor,73.75
Cement,36.0,480.0,17280.0,2026-12-29,Construction,3rd Floor,74.0
Cement Transport ,36.0,20.0,720.0,2026-12-29,Construction,3rd Floor,74.0
Sand (10 Wheel),1.0,8000.0,8000.0,2026-12-29,Construction,3rd Floor,74.0
Contractor Njaye Payment,1.0,100000.0,100000.0,2026-01-20,Construction,3rd Floor,73.5
Iron Rod (12mm),103.0,540.0,55620.0,2026-01-22,Construction,3rd Floor,73.5
Binding Wire,1.0,500.0,500.0,2026-01-22,Construction,3rd Floor,73.5
Iron Rod + Binding Wite Transport ,1.0,700.0,700.0,2026-01-22,Construction,3rd Floor,73.5
Big Plastic Barrel ,2.0,1000.0,2000.0,2026-01-23,Construction,3rd Floor,73.5
Barrels Transport ,1.0,500.0,500.0,2026-01-23,Construction,3rd Floor,73.5
Gas for Generator ,1.0,475.0,475.0,2026-01-23,Construction,3rd Floor,73.5
Bubacarr Faye Payment,1.0,60000.0,60000.0,2026-01-24,Construction,3rd Floor,73.5
Cement,100.0,465.0,46500.0,2026-01-27,Construction,3rd Floor,73.75
Cement Transport ,100.0,20.0,2000.0,2026-01-27,Construction,3rd Floor,73.75
