item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Rope for Lifting Bricks,1,400.0,400.0,2025-08-28,Construction,2nd Floor,73.5
Iron Rod 12mm,70,550.0,38500.0,2025-08-30,Construction,2nd Floor,73.5
Iron Rod 6mm,40,150.0,6000.0,2025-08-30,Construction,2nd Floor,73.5
Wheelbarrow,1,2800.0,2800.0,2025-08-30,Construction,2nd Floor,73.5
Binding Wire(Roll),2,500.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Materials Transpot,1,1000.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Cement,50,480.0,24000.0,2025-08-30,Construction,2nd Floor,73.5
Cement Transport,50,20.0,1000.0,2025-08-30,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1,90000.0,90000.0,2025-08-30,Construction,2nd Floor,73.5
Gas for Generator,1,530.0,530.0,2025-08-31,Construction,2nd Floor,73.5
Generator Repair,1,1200.0,1200.0,2025-09-05,Construction,2nd Floor,73.5
Sand(10Wheel),1,8300.0,8300.0,2025-09-06,Construction,2nd Floor,73.5
Contractor Momodou Njaye Payment,1,100000.0,100000.0,2025-09-08,Construction,2nd Floor,73.5
Cement,50,480.0,24000.0,2025-09-10,Construction,2nd Floor,73.5
Cement Transport,50,20.0,1000.0,2025-09-10,Construction,2nd Floor,73.5
1 by 2 wood,40,100.0,4000.0,2025-09-13,Construction,2nd Floor,73.5
Splitting Plywoods,1,650.0,650.0,2025-09-13,Construction,2nd Floor,73.5
Materials Transpot,1,600.0,600.0,2025-09-13,Construction,2nd Floor,73.5
Nail(kg) 3 in,3,100.0,300.0,2025-09-13,Construction,2nd Floor,73.5
Nail(kg) 3 in,4,100.0,400.0,2025-09-15,Construction,2nd Floor,73.5
Cement,50,480.0,24000.0,2025-09-16,Construction,2nd Floor,73.5
Cement Transport,50,20.0,1000.0,2025-09-16,Construction,2nd Floor,73.5
Asphalt Stone(19 cubic),1,95000.0,95000.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 12mm,25,540.0,13500.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 10mm,280,330.0,92400.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rod 6mm,125,140.0,17500.0,2025-09-17,Construction,2nd Floor,73.5
Binding Wire(Roll),3,400.0,1200.0,2025-09-17,Construction,2nd Floor,73.5
Iron Rods Transport,1,3000.0,3000.0,2025-09-17,Construction,2nd Floor,73.5
Chain(2m),1,700.0,700.0,2025-09-17,Construction,2nd Floor,73.5
Lock,1,250.0,250.0,2025-09-17,Construction,2nd Floor,73.5
1 by 6,10,400.0,4000.0,2025-09-17,Construction,2nd Floor,73.5
1 by 6 & 12mm Rod Transport,1,600.0,600.0,2025-09-17,Construction,2nd Floor,73.5
Nail(kg) 3 in,2,100.0,200.0,2025-09-17,Construction,2nd Floor,73.5
